,Drug_bank_ID,Drug_name,Generic_names,Indications,Associated_condition,URL,Disease_Url,Disease_ID,Disease,Drug_application_number
10,DB14723,Larotrectinib#Vitrakvi,Larotrectinib,"Larotrectinib is a tyrosine kinase inhibitor that is currently indicated for the treatment of adult and pediatric patients with solid tumors that either a) have a neurotrophic receptor tyrosine kinase (NTRK) gene fusion without a known acquired resistance mutation, b) are metastatic or where surgical resection is likely to result in severe morbidity, and c) have no satisfactory alternative treatments or that have progressed following treatment Label.
At the moment, these uses of larotrectinib are only approved under the auspices of an accelerated approval by the US FDA based on overall response rate and duration of response and continuation of support for these indications may be contingent upon the verification and description of continued clinical benefit in confirmatory trials Label. 
",NTRK1 Fusion Positive,https://go.drugbank.com//indications/DBCOND0090262,DBCOND0090262,DBCOND0090262,NTRK1 Fusion Positive,NDA211710
11,DB14723,Larotrectinib#Vitrakvi,Larotrectinib,"Larotrectinib is a tyrosine kinase inhibitor that is currently indicated for the treatment of adult and pediatric patients with solid tumors that either a) have a neurotrophic receptor tyrosine kinase (NTRK) gene fusion without a known acquired resistance mutation, b) are metastatic or where surgical resection is likely to result in severe morbidity, and c) have no satisfactory alternative treatments or that have progressed following treatment Label.
At the moment, these uses of larotrectinib are only approved under the auspices of an accelerated approval by the US FDA based on overall response rate and duration of response and continuation of support for these indications may be contingent upon the verification and description of continued clinical benefit in confirmatory trials Label. 
",NTRK1 Fusion Positive,https://go.drugbank.com//indications/DBCOND0090262,DBCOND0090262,DBCOND0090262,NTRK1 Fusion Positive,NDA210861
12,DB14723,Larotrectinib#Vitrakvi,Larotrectinib,"Larotrectinib is a tyrosine kinase inhibitor that is currently indicated for the treatment of adult and pediatric patients with solid tumors that either a) have a neurotrophic receptor tyrosine kinase (NTRK) gene fusion without a known acquired resistance mutation, b) are metastatic or where surgical resection is likely to result in severe morbidity, and c) have no satisfactory alternative treatments or that have progressed following treatment Label.
At the moment, these uses of larotrectinib are only approved under the auspices of an accelerated approval by the US FDA based on overall response rate and duration of response and continuation of support for these indications may be contingent upon the verification and description of continued clinical benefit in confirmatory trials Label. 
",NTRK2 Fusion Positive,https://go.drugbank.com//indications/DBCOND0090263,DBCOND0090263,DBCOND0090263,NTRK2 Fusion Positive,NDA211710
13,DB14723,Larotrectinib#Vitrakvi,Larotrectinib,"Larotrectinib is a tyrosine kinase inhibitor that is currently indicated for the treatment of adult and pediatric patients with solid tumors that either a) have a neurotrophic receptor tyrosine kinase (NTRK) gene fusion without a known acquired resistance mutation, b) are metastatic or where surgical resection is likely to result in severe morbidity, and c) have no satisfactory alternative treatments or that have progressed following treatment Label.
At the moment, these uses of larotrectinib are only approved under the auspices of an accelerated approval by the US FDA based on overall response rate and duration of response and continuation of support for these indications may be contingent upon the verification and description of continued clinical benefit in confirmatory trials Label. 
",NTRK2 Fusion Positive,https://go.drugbank.com//indications/DBCOND0090263,DBCOND0090263,DBCOND0090263,NTRK2 Fusion Positive,NDA210861
14,DB14723,Larotrectinib#Vitrakvi,Larotrectinib,"Larotrectinib is a tyrosine kinase inhibitor that is currently indicated for the treatment of adult and pediatric patients with solid tumors that either a) have a neurotrophic receptor tyrosine kinase (NTRK) gene fusion without a known acquired resistance mutation, b) are metastatic or where surgical resection is likely to result in severe morbidity, and c) have no satisfactory alternative treatments or that have progressed following treatment Label.
At the moment, these uses of larotrectinib are only approved under the auspices of an accelerated approval by the US FDA based on overall response rate and duration of response and continuation of support for these indications may be contingent upon the verification and description of continued clinical benefit in confirmatory trials Label. 
",NTRK3 Fusion Positive,https://go.drugbank.com//indications/DBCOND0090264,DBCOND0090264,DBCOND0090264,NTRK3 Fusion Positive,NDA211710
15,DB14723,Larotrectinib#Vitrakvi,Larotrectinib,"Larotrectinib is a tyrosine kinase inhibitor that is currently indicated for the treatment of adult and pediatric patients with solid tumors that either a) have a neurotrophic receptor tyrosine kinase (NTRK) gene fusion without a known acquired resistance mutation, b) are metastatic or where surgical resection is likely to result in severe morbidity, and c) have no satisfactory alternative treatments or that have progressed following treatment Label.
At the moment, these uses of larotrectinib are only approved under the auspices of an accelerated approval by the US FDA based on overall response rate and duration of response and continuation of support for these indications may be contingent upon the verification and description of continued clinical benefit in confirmatory trials Label. 
",NTRK3 Fusion Positive,https://go.drugbank.com//indications/DBCOND0090264,DBCOND0090264,DBCOND0090264,NTRK3 Fusion Positive,NDA210861
16,DB11760,Talazoparib#Talzenna,Talazoparib,"Talazoparib is indicated for the treatment of deleterious or suspected deleterious germline BRCA mutated, HER2 negative locally advanced or metastatic breast cancer in adults Label.
",Locally Advanced Breast Cancer (LABC),https://go.drugbank.com//indications/DBCOND0034432,DBCOND0034432,DBCOND0034432,Locally Advanced Breast Cancer (LABC)#Locally Advanced Breast Cancer#Locally Advance Breast Cancer (LABC)#Malignant neoplasm of breast#Malignant breast neoplasm#Breast cancer#Breast tumor malignant#Breast tumour malignant#Breast cancer NOS#Breast cancer stage unspecified#Ca breast,NDA211651
17,DB11760,Talazoparib#Talzenna,Talazoparib,"Talazoparib is indicated for the treatment of deleterious or suspected deleterious germline BRCA mutated, HER2 negative locally advanced or metastatic breast cancer in adults Label.
",Metastatic Breast Cancer,https://go.drugbank.com//indications/DBCOND0030200,DBCOND0030200,DBCOND0030200,Metastatic Breast Cancer#Metastatic (Stage IV) Breast Cancer#Advanced/Metastatic Breast Cancer#Stage IV (Metastatic) Breast Cancer#Metastatic Breast Cancers#Breast cancer metastatic#Carcinoma breast stage IV#Breast carcinoma NOS stage IV#Breast carcinoma stage IV#Breast cancer stage IV#Breast cancer NOS stage IV,NDA211651
18,DB16695,Amivantamab#Rybrevant#amivantamab-vmjw,Rybrevant,"Amivantamab is indicated in the treatment of adult patients with locally advanced or metastatic non-small cell lung cancer (NSCLC) with epidermal growth factor receptor (EGFR) exon 20 insertion mutations, whose disease has progressed on or after platinum-based chemotherapy.",Locally Advanced Non-Small Cell Lung Cancer,https://go.drugbank.com/indications/DBCOND0039376,DBCOND0039376,DBCOND0039376,"Locally Advanced Non-Small Cell Lung Cancer#Nonsmall Cell Lung Cancer Stage III#Non-Small Cell Lung Cancer (Stage III)#Non Small Cell Lung Cancer Stage III#Stage III Non-small-Cell Lung Cancer#Non Small Cell Lung Cancer (Stage III)#Stage III Non-Small Cell Lung Cancer#Non-small Cell Lung Cancer, Stage III#NSCLC, Stage III#Stage III NSCLC#Non-small Cell Lung Cancer Stage III#Stage 3 Non-small cell lung cancer#Locally advanced Non small cell lung cancer#Locally Advanced Non Small Cell Lung Cancer (NSCLC)*#Locally Advanced NSCLC#Lung cancer non-small cell stage III",BLA761210
19,DB06366,rhuMAb-2C4#MOAB 2C4#Monoclonal Antibody 2C4#Pertuzumab#Perjeta#Perjeta-Herceptin#2C4 Antibody#Phesgo,Pertuzumab,"Pertuzumab is indicated for intravenous administration in combination with trastuzumab and docetaxel for the treatment of patients with HER2-positive metastatic breast cancer who have not received prior anti-HER2 therapy or chemotherapy for metastatic disease.6 It is also indicated in combination with trastuzumab and other chemotherapies for the neoadjuvant treatment of HER2-positive locally advanced, inflammatory, or early-stage breast cancer as part of a complete treatment regimen6 and as adjuvant treatment in patients with HER2-positive early-stage breast cancer at high risk of recurrence.6
Pertuzumab is also indicated for subcutaneous injection - in combination with trastuzumab and hyaluronidase - in the treatment of HER2-positive breast cancers in adults.4
",Early Breast Cancer,https://go.drugbank.com//indications/DBCOND0034800,DBCOND0034800,DBCOND0034800,Early Breast Cancer#Stage I Breast Carcinoma#Early-Stage Breast Cancer#Stage I Breast Cancer#Carcinoma breast stage I#Breast cancer stage I#Breast carcinoma stage I#Breast carcinoma NOS stage I#Breast cancer NOS stage I,BLA125409
20,DB06366,rhuMAb-2C4#MOAB 2C4#Monoclonal Antibody 2C4#Pertuzumab#Perjeta#Perjeta-Herceptin#2C4 Antibody#Phesgo,Pertuzumab,"Pertuzumab is indicated for intravenous administration in combination with trastuzumab and docetaxel for the treatment of patients with HER2-positive metastatic breast cancer who have not received prior anti-HER2 therapy or chemotherapy for metastatic disease.6 It is also indicated in combination with trastuzumab and other chemotherapies for the neoadjuvant treatment of HER2-positive locally advanced, inflammatory, or early-stage breast cancer as part of a complete treatment regimen6 and as adjuvant treatment in patients with HER2-positive early-stage breast cancer at high risk of recurrence.6
Pertuzumab is also indicated for subcutaneous injection - in combination with trastuzumab and hyaluronidase - in the treatment of HER2-positive breast cancers in adults.4
",Inflammatory Breast Cancer (IBC),https://go.drugbank.com//indications/DBCOND0084733,DBCOND0084733,DBCOND0084733,Inflammatory Breast Cancer (IBC)#Inflammatory carcinoma of the breast#Inflammatory Breast Cancer#Inflammatory carcinoma of breast (disorder)#Inflammatory Breast Neoplasms#Breast carcinoma inflammatory,BLA125409
21,DB06366,rhuMAb-2C4#MOAB 2C4#Monoclonal Antibody 2C4#Pertuzumab#Perjeta#Perjeta-Herceptin#2C4 Antibody#Phesgo,Pertuzumab,"Pertuzumab is indicated for intravenous administration in combination with trastuzumab and docetaxel for the treatment of patients with HER2-positive metastatic breast cancer who have not received prior anti-HER2 therapy or chemotherapy for metastatic disease.6 It is also indicated in combination with trastuzumab and other chemotherapies for the neoadjuvant treatment of HER2-positive locally advanced, inflammatory, or early-stage breast cancer as part of a complete treatment regimen6 and as adjuvant treatment in patients with HER2-positive early-stage breast cancer at high risk of recurrence.6
Pertuzumab is also indicated for subcutaneous injection - in combination with trastuzumab and hyaluronidase - in the treatment of HER2-positive breast cancers in adults.4
",Locally Advanced Breast Cancer (LABC),https://go.drugbank.com//indications/DBCOND0034432,DBCOND0034432,DBCOND0034432,Locally Advanced Breast Cancer (LABC)#Locally Advanced Breast Cancer#Locally Advance Breast Cancer (LABC)#Malignant neoplasm of breast#Malignant breast neoplasm#Breast cancer#Breast tumor malignant#Breast tumour malignant#Breast cancer NOS#Breast cancer stage unspecified#Ca breast,BLA125409
22,DB06366,rhuMAb-2C4#MOAB 2C4#Monoclonal Antibody 2C4#Pertuzumab#Perjeta#Perjeta-Herceptin#2C4 Antibody#Phesgo,Pertuzumab,"Pertuzumab is indicated for intravenous administration in combination with trastuzumab and docetaxel for the treatment of patients with HER2-positive metastatic breast cancer who have not received prior anti-HER2 therapy or chemotherapy for metastatic disease.6 It is also indicated in combination with trastuzumab and other chemotherapies for the neoadjuvant treatment of HER2-positive locally advanced, inflammatory, or early-stage breast cancer as part of a complete treatment regimen6 and as adjuvant treatment in patients with HER2-positive early-stage breast cancer at high risk of recurrence.6
Pertuzumab is also indicated for subcutaneous injection - in combination with trastuzumab and hyaluronidase - in the treatment of HER2-positive breast cancers in adults.4
",Metastatic Breast Cancer,https://go.drugbank.com//indications/DBCOND0030200,DBCOND0030200,DBCOND0030200,Metastatic Breast Cancer#Metastatic (Stage IV) Breast Cancer#Advanced/Metastatic Breast Cancer#Stage IV (Metastatic) Breast Cancer#Metastatic Breast Cancers#Breast cancer metastatic#Carcinoma breast stage IV#Breast carcinoma NOS stage IV#Breast carcinoma stage IV#Breast cancer stage IV#Breast cancer NOS stage IV,BLA125409
23,DB06595,"Rydapt#Midostaurin#[""4-N-benzoylstaurosporine"", Midostaurin",Midostaurin,"Investigated for use/treatment in adult patients with high-risk acute myeloid leukemia (AML) who are FLT3 mutation-positive, agressive systemic mastocytosis (ASM), systemic mastocytosis with associated hematological neoplasm (SM-AHN), or mast cell leukemia (MCL). 
",Acute Myeloid Leukemia (AML),https://go.drugbank.com//indications/DBCOND0030268,DBCOND0030268,DBCOND0030268,"Acute Myeloid Leukemia (AML)#Acute Myeloid Leukemia Leukemia#Leukaemia (Acute Myeloid)#Leukemia, Myelogenous, Acute#AML (Acute Myelogenous Leukemia#Cancer - Acute Myeloid Leukemia (AML)#Acute Myeloid Leukemia(AML)#ACUTE MYELOID LEUKEMIA; AML#Myeloid Leukemias, Acute#Leukemias, Acute Myeloid#Acute Myeloid Leukaemia (AML)#Leukemia Myeloid Acute#Acute Myeloid Leukemia NOS#Acute Myelogenous Leukemia (AML)#Acute Myelogenous Leukemia#Leukemia, Acute Myelogenous#Myelogenous Leukemia, Acute#Leukemia, Acute Myelogenous (AML)#Acute Myelogenous Leukemia AML#AML (Acute Myelogenous Leukemia)#Acute Myeloid Leucemia#AML#Leukemia Acute Myeloid Leukemia (AML)#Acute Granulocytic Leukemia#AML - Acute Myeloid Leukemia#Acute Myeloid Leucaemia#Acute Myeloid Leukemia#Leukemia Acute Myeloid#Acute Myeloid Leukaemias (AML)#Leukemia Acute Myeloid - AML#Leukemia, Myeloid, Acute#Acute Leukemia, Myeloid#Acute Myeloid Leukemias#Leukemia, Myeloid, Acute(AML)#Leukemia, Acute Myeloid (AML)#Leukemia, Acute Myeloid#Myeloid Leukemia, Acute#Acute Myeloid Leukaemia#Leukemia, Myeloid Acute#Leukaemias acute myeloid#Acute myeloid leukemia, disease (disorder)#Acute myelocytic leukaemia#Acute myelocytic leukemia#Acute myeloid leukemia, no ICD-O subtype (morphologic abnormality)#Acute myeloblastic leukemia with failed remission#Leukaemia myeloblastic acute#[M]Acute myeloid leukaemia#Non-lymphoblastic leukaemia acute#Non-lymphoblastic leukemia acute#Myeloid leukaemia, acute#Acute myeloblastic leukemia, minimal differentiation#Acute myeloblastic leukemia#Acute myeloblastic leukemia (disorder)#Acute myeloblastic leukaemia#Leukemia myeloblastic acute#Acute granulocytic leukaemia#Acute myeloid leukemia - category (morphologic abnormality)#Acute myeloid leukaemia NOS",NDA207997
24,DB06595,"Rydapt#Midostaurin#[""4-N-benzoylstaurosporine"", Midostaurin",Midostaurin,"Investigated for use/treatment in adult patients with high-risk acute myeloid leukemia (AML) who are FLT3 mutation-positive, agressive systemic mastocytosis (ASM), systemic mastocytosis with associated hematological neoplasm (SM-AHN), or mast cell leukemia (MCL). 
",Malignant mast cell neoplasm,https://go.drugbank.com//indications/DBCOND0007107,DBCOND0007107,DBCOND0007107,"Malignant mast cell neoplasm#Mast Cell Leukemia#Leukemia, Mast Cell#Malignant Mast Cell Tumors#Mast Cell Leukemia (MCL)#Leukemia, Mast-Cell#Mast cell sarcoma#Malignant mast cell neoplasm (morphologic abnormality)#Malignant mastocytosis (disorder)#Malignant mast cell tumor NOS (disorder)#Malignant-mast cell tumours#Mast cell malignancy of unspecified site (disorder)#Mast cell sarcoma (morphologic abnormality)#Malignant mast cell tumor (disorder)#Malignant mast cell tumors (disorder)#Mast-Cell Sarcoma",NDA207997
25,DB06595,"Rydapt#Midostaurin#[""4-N-benzoylstaurosporine"", Midostaurin",Midostaurin,"Investigated for use/treatment in adult patients with high-risk acute myeloid leukemia (AML) who are FLT3 mutation-positive, agressive systemic mastocytosis (ASM), systemic mastocytosis with associated hematological neoplasm (SM-AHN), or mast cell leukemia (MCL). 
",Systemic Mastocytosis,https://go.drugbank.com//indications/DBCOND0028386,DBCOND0028386,DBCOND0028386,"Systemic Mastocytosis#Indolent systemic mastocytosis#Mastocytosis, Systemic#Malignant mastocytosis (morphologic abnormality)#Systemic mast cell disease (disorder)#Systemic mastocytosis -RETIRED-",NDA207997
