,Drug_application_number,Application_number,Drug,Therapeutic_Area,Biomarker,Labeling_Sections,Date,Indications and usage,Adverse reactions,Drug_name
10,NDA207997,207997,Midostaurin (1),Oncology,FLT3,"1 INDICATIONS AND USAGE, 2 DOSAGE AND ADMINISTRATION, 6 ADVERSE REACTIONS, 14 CLINICAL STUDIES",03/04/2020,"1.1 Acute Myeloid Leukemia RYDAPT is indicated, in combination with standard cytarabine and daunorubicin induction and cytarabine consolidation chemotherapy, for the treatment of adult patients with newly diagnosed acute myeloid leukemia (AML) who are FLT3 mutation-positive, as detected by a FDA approved test [see Dosage and Administration (2.1), Clinical Studies (14.1)]. (–)","6.1 Clinical Trials Experience Acute Myeloid Leukemia The safety evaluation of RYDAPT (50 mg twice daily with food) in patients with newly diagnosed FLT3 mutated AML is based on a randomized, double-blind, trial of RYDAPT (n=345) or placebo (n=335) with chemotherapy [see Clinical Studies (14.1)] (–) (–) Table 2 presents the frequency category of adverse reactions reported in the randomized trial in patients with newly diagnosed FLT3 mutated AML. Adverse reactions are listed according to body system. Within each body system, the adverse reactions are ranked by frequency, with the most frequent reactions first. Table 3 presents the key laboratory abnormalities from the same randomized trial in patients with newly diagnosed FLT3 mutated AML. (See Table 2) (–)",Midostaurin 
11,NDA210496,210496,Encorafenib (1),Oncology,BRAF,"1 INDICATIONS AND USAGE, 2 DOSAGE AND ADMINISTRATION, 5 WARNINGS AND PRECAUTIONS, 6 ADVERSE REACTIONS, 8 USE IN SPECIFIC POPULATIONS, 12 CLINICAL PHARMACOLOGY, 14 CLINICAL STUDIES",04/08/2020,"1.1 BRAF V600E or V600K Mutation-Positive Unresectable or Metastatic Melanoma  BRAFTOVI® is indicated, in combination with binimetinib, for the treatment of patients with unresectable or metastatic melanoma with a BRAF V600E or V600K mutation, as detected by an FDA-approved test [see Dosage and Administration (2.1)].  1.2 BRAF V600E Mutation-Positive Metastatic Colorectal Cancer (CRC)  BRAFTOVI® is indicated, in combination with cetuximab, for the treatment of adult patients with metastatic colorectal cancer (CRC) with a BRAF V600E mutation, as detected by an FDA-approved test, after prior therapy [see Dosage and Administration (2.1)].  1.3 Limitations of Use  BRAFTOVI is not indicated for treatment of patients with wild-type BRAF melanoma or wild-type BRAF CRC [see Warnings and Precautions (5.2)].","6.1 Clinical Trials Experience BRAF V600E or V600K Mutation-Positive Unresectable or Metastatic Melanoma (–) The safety of BRAFTOVI in combination with binimetinib is described in 192 patients with BRAF V600 mutation-positive unresectable or metastatic melanoma who received BRAFTOVI (450 mg once daily) in combination with binimetinib (45 mg twice daily) in a randomized open-label, active-controlled trial (COLUMBUS). (–) BRAF V600E Mutation-Positive Metastatic Colorectal Cancer (CRC)  The safety of BRAFTOVI 300 mg once daily in combination with cetuximab (400 mg/m2 initial dose, followed by 250 mg/m2 weekly) was evaluated in 216 patients with BRAF V600E mutation-positive metastatic CRC in a randomized, open-label, active-controlled trial (BEACON CRC). (–)",Encorafenib 
12,BLA125377,125377,Ipilimumab (2),Oncology,"Microsatellite Instability, Mismatch Repair","1 INDICATIONS AND USAGE, 2 DOSAGE AND ADMINISTRATION, 5 WARNINGS AND PRECAUTIONS, 6 ADVERSE REACTIONS, 8 USE IN SPECIFIC POPULATIONS, 14 CLINICAL STUDIES",11/13//2020,"1.4 Microsatellite Instability-High (MSI-H) or Mismatch Repair Deficient (dMMR) Metastatic Colorectal Cancer YERVOY, in combination with nivolumab, is indicated for the treatment of adult and pediatric patients 12 years of age and older with microsatellite instability-high (MSI-H) or mismatch repair deficient (dMMR) metastatic colorectal cancer (CRC) that has progressed following treatment with a fluoropyrimidine, oxaliplatin, and irinotecan [see Clinical Studies (14.4)]. This indication is approved under accelerated approval based on overall response rate and duration of response. Continued approval for this indication may be contingent upon verification and description of clinical benefit in confirmatory trials.","6.1 Clinical Trials Experience The data described below reflect exposure to YERVOY 3 mg/kg as a single agent in MDX010-20, a randomized trial in patients with unresectable or metastatic melanoma; to YERVOY 10 mg/kg as a single agent in CA184-029, a randomized trial in patients with resected Stage IIIA (>1 mm nodal involvement), IIIB, and IIIC (with no in-transit metastases) cutaneous melanoma; and to YERVOY 1 mg/kg, administered in combination with nivolumab, in two trials: CHECKMATE214 (NCT02231749), a randomized trial in previously untreated patients with advanced renal cell carcinoma, and CHECKMATE-142 (NCT02060188), an open-label, multicenter, non-randomized multiple parallel cohort trial in patients with previously treated, MSI-H or dMMR metastatic colorectal cancer. (–) Previously Treated MSI-H or dMMR Metastatic Colorectal Cancer The safety of YERVOY was evaluated in CHECKMATE-142, an open-label, multicenter, nonrandomized, multiple parallel-cohort study. In CHECKMATE-142, 119 patients with previously treated MSI-H or dMMR mCRC received YERVOY, in combination with nivolumab, in a singlearm cohort. In another single-arm cohort under CHECKMATE-142, 74 patients with mCRC received nivolumab monotherapy. (See Tables 9 and 10) (–)",Ipilimumab 
13,BLA125377,125377,Ipilimumab (3),Oncology,CD274 (PD-L1),"1 INDICATIONS AND USAGE, 2 DOSAGE AND ADMINISTRATION, 8 USE IN SPECIFIC POPULATIONS, 14 CLINICAL STUDIES",11/13//2020,"1.6 Metastatic Non-Small Cell Lung Cancer  YERVOY, in combination with nivolumab, is indicated for the first-line treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors express PD-determined by an FDA-approved test [see Dosage and Administration (2.1)], with no EGFR or ALK genomic tumor aberrations. YERVOY, in combination with nivolumab and 2 cycles of platinum-doublet chemotherapy, is indicated for the first-line treatment of adult patients with metastatic or recurrent NSCLC, with no EGFR or ALK genomic tumor aberrations.",,Ipilimumab 
14,BLA125377,125377,Ipilimumab (4),Oncology,ALK,"1 INDICATIONS AND USAGE, 6 ADVERSE REACTIONS, 14 CLINICAL STUDIES",11/13//2020,"1.6 Metastatic Non-Small Cell Lung Cancer  YERVOY, in combination with nivolumab, is indicated for the first-line treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors express PD--approved test [see Dosage and Administration (2.1)], with no EGFR or ALK genomic tumor aberrations. YERVOY, in combination with nivolumab and 2 cycles of platinum-doublet chemotherapy, is indicated for the first-line treatment of adult patients with metastatic or recurrent NSCLC, with no EGFR or ALK genomic tumor aberrations.","The data described below reflect exposure to YERVOY 3 mg/kg as a single agent in MDX010-20, a randomized trial in patients with unresectable or metastatic melanoma; to YERVOY 10 mg/kg as a single agent in CA184-029, a randomized trial in patients with resected Stage IIIA (>1 mm nodal involvement), IIIB, and IIIC (with no in-transit metastases) cutaneous melanoma; to YERVOY 1 mg/kg, administered in combination with nivolumab, in three trials: CHECKMATE214, a randomized trial in previously untreated patients with advanced renal cell carcinoma, CHECKMATE-142, an open-label, multicenter, non-randomized multiple parallel cohort trial in patients with previously treated, MSI-H or dMMR metastatic colorectal cancer, and CHECKMATE-227, a randomized, multicenter, multi-cohort, open-label trial in patients with previously untreated metastatic or recurrent non-small cell lung cancer with no EGFR or ALK genomic tumor aberrations; and to YERVOY 3 mg/kg, administered in combination with nivolumab, in CHECKMATE-040, a multicenter, multiple cohort, open-label trial conducted in patients with hepatocellular carcinoma who progressed on or were intolerant to sorafenib; and to YERVOY 1 mg/kg, administered in combination with nivolumab and platinum-doublet chemotherapy in CHECKMATE-9LA, an open-label, multicenter, randomized trial in adult patients with previously untreated metastatic or recurrent non-small cell lung cancer with no EGFR or ALK genomic tumor aberrations. (–) First-line Treatment of Metastatic NSCLC: In Combination with Nivolumab  The safety of YERVOY in combination with nivolumab was evaluated in CHECKMATE-227, a randomized, multicenter, multi-cohort, open-label trial in patients with previously untreated metastatic or recurrent NSCLC with no EGFR or ALK genomic tumor aberrations [see Clinical Studies (14.6)]. (–)",Ipilimumab 
15,BLA125377,125377,Ipilimumab (5),Oncology,EGFR,"1 INDICATIONS AND USAGE, 6 ADVERSE REACTIONS, 14 CLINICAL STUDIES",11/13//2020,"1.6 Metastatic Non-Small Cell Lung Cancer  YERVOY, in combination with nivolumab, is indicated for the first-line treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors express PD--approved test [see Dosage and Administration (2.1)], with no EGFR or ALK genomic tumor aberrations. YERVOY, in combination with nivolumab and 2 cycles of platinum-doublet chemotherapy, is indicated for the first-line treatment of adult patients with metastatic or recurrent NSCLC, with no EGFR or ALK genomic tumor aberrations.","The data described below reflect exposure to YERVOY 3 mg/kg as a single agent in MDX010-20, a randomized trial in patients with unresectable or metastatic melanoma; to YERVOY 10 mg/kg as a single agent in CA184-029, a randomized trial in patients with resected Stage IIIA (>1 mm nodal involvement), IIIB, and IIIC (with no in-transit metastases) cutaneous melanoma; to YERVOY 1 mg/kg, administered in combination with nivolumab, in three trials: CHECKMATE214, a randomized trial in previously untreated patients with advanced renal cell carcinoma, CHECKMATE-142, an open-label, multicenter, non-randomized multiple parallel cohort trial in patients with previously treated, MSI-H or dMMR metastatic colorectal cancer, and CHECKMATE-227, a randomized, multicenter, multi-cohort, open-label trial in patients with previously untreated metastatic or recurrent non-small cell lung cancer with no EGFR or ALK genomic tumor aberrations; and to YERVOY 3 mg/kg, administered in combination with nivolumab, in CHECKMATE-040, a multicenter, multiple cohort, open-label trial conducted in patients with hepatocellular carcinoma who progressed on or were intolerant to sorafenib; and to YERVOY 1 mg/kg, administered in combination with nivolumab and platinum-doublet chemotherapy in CHECKMATE-9LA, an open-label, multicenter, randomized trial in adult patients with previously untreated metastatic or recurrent non-small cell lung cancer with no EGFR or ALK genomic tumor aberrations. (–) First-line Treatment of Metastatic NSCLC: In Combination with Nivolumab  The safety of YERVOY in combination with nivolumab was evaluated in CHECKMATE-227, a randomized, multicenter, multi-cohort, open-label trial in patients with previously untreated metastatic or recurrent NSCLC with no EGFR or ALK genomic tumor aberrations [see Clinical Studies (14.6)]. (–)",Ipilimumab (5)
16,NDA210868,210868,Lorlatinib (1),Oncology,ALK,"1 INDICATIONS AND USAGE, 6 ADVERSE REACTIONS, 14 CLINICAL STUDIES",05/29/2020,LORBRENA® is indicated for the treatment of patients with anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung cancer (NSCLC) whose disease has progressed on  crizotinib and at least one other ALK inhibitor for metastatic disease; or  alectinib as the first ALK inhibitor therapy for metastatic disease; or  ceritinib as the first ALK inhibitor therapy for metastatic disease.  This indication is approved under accelerated approval based on tumor response rate and duration of response [see Clinical Studies (14.1)]. Continued approval for this indication may be contingent upon verification and description of clinical benefit in a confirmatory trial.,"6.1 Clinical Trials Experience (–) The data in Warnings and Precautions reflect exposure to LORBRENA in 332 patients with ALK-positive or ROS1-positive, metastatic non small cell lung cancer (NSCLC) enrolled in a multi-cohort, multinational, non-comparative, dose-finding, and activity-estimating trial (Study B7461001) who received LORBRENA at doses ranging from 10 mg to 200 mg daily in single or divided doses. The data described below reflect exposure to LORBRENA in 295 patients with ALK-positive or ROS1-positive metastatic NSCLC who received LORBRENA 100 mg orally once daily in Study B7461001. (–)",Lorlatinib 
17,NDA210868,210868,Lorlatinib (2),Oncology,ROS1,6 ADVERSE REACTIONS,05/29/2020,,"6.1 Clinical Trials Experience(–) The data in Warnings and Precautions reflect exposure to LORBRENA in 332 patients with ALK-positive or ROS1-positive, metastatic non small cell lung cancer (NSCLC) enrolled in a multi-cohort, multinational, non-comparative, dose-finding, and activity-estimating trial (Study B7461001) who received LORBRENA at doses ranging from 10 mg to 200 mg daily in single or divided doses. The data described below reflect exposure to LORBRENA in 295 patients with ALK-positive or ROS1-positive metastatic NSCLC who received LORBRENA 100 mg orally once daily in Study B7461001. (–)",Lorlatinib 
18,BLA125514,125514,Pembrolizumab (2),Oncology,CD274 (PD-L1),"1 INDICATIONS AND USAGE, 2 DOSAGE AND ADMINISTRATION, 6 ADVERSE REACTIONS, 8 USE IN SPECIFIC POPULATIONS, 14 CLINICAL STUDIES",11/13//2020,"1.2 Non-Small Cell Lung Cancer  KEYTRUDA, in combination with pemetrexed and platinum chemotherapy, is indicated for the first-line treatment of patients with metastatic nonsquamous non-small cell lung cancer (NSCLC), with no EGFR or ALK genomic tumor aberrations.  KEYTRUDA, in combination with carboplatin and either paclitaxel or paclitaxel protein-bound, is indicated for the first-line treatment of patients with metastatic squamous NSCLC.  KEYTRUDA, as a single agent, is indicated for the first-line treatment of patients with NSCLC expressing PD-determined by an FDA-approved test [see Dosage and Administration (2.1)], with no EGFR or ALK genomic tumor aberrations, and is:   stage III where patients are not candidates for surgical resection or definitive chemoradiation, or   metastatic.  KEYTRUDA, as a single agent, is indicated for the treatment of patients with metastatic NSCLC whose tumors express PD-FDA-approved test [see Dosage and Administration (2.1)], with disease progression on or after platinum-containing chemotherapy. Patients with EGFR or ALK genomic tumor aberrations should have disease progression on FDA-approved therapy for these aberrations prior to receiving KEYTRUDA. 1.4 Head and Neck Squamous Cell Cancer  KEYTRUDA, in combination with platinum and fluorouracil (FU), is indicated for the first-line treatment of patients with metastatic or with unresectable, recurrent head and neck squamous cell carcinoma (HNSCC).  KEYTRUDA, as a single agent, is indicated for the first line treatment of patients with metastatic or with unresectable, recurrent HNSCC whose tumors express PD--approved test [see Dosage and Administration (2.1)]. KEYTRUDA, as a single agent, is indicated for the treatment of patients with recurrent or metastatic HNSCC with disease progression on or after platinum-containing chemotherapy. 1.7 Urothelial Carcinoma  KEYTRUDA is indicated for the treatment of patients with locally advanced or metastatic urothelial carcinoma who are not eligible for cisplatin-containing chemotherapy and whose tumors express PD--approved test [see Dosage and Administration (2.1)], or in patients who are not eligible for any platinum-containing chemotherapy regardless of PD-L1 status.  This indication is approved under accelerated approval based on tumor response rate and duration of response [see Clinical Studies (14.7)]. Continued approval for this indication may be contingent upon verification and description of clinical benefit in confirmatory trials.  KEYTRUDA is indicated for the treatment of patients with locally advanced or metastatic urothelial carcinoma who have disease progression during or following platinum-containing chemotherapy or within 12 months of neoadjuvant or adjuvant treatment with platinum-containing chemotherapy.  1.9 Gastric Cancer KEYTRUDA is indicated for the treatment of patients with recurrent locally advanced or metastatic gastric or gastroesophageal junction adenocarcinoma whose tumors express PD--approved test, with disease progression on or after two or more prior lines of therapy including fluoropyrimidine- and platinum-containing chemotherapy and if appropriate, HER2/neu-targeted therapy [see Clinical Studies (14.7)]. This indication is approved under accelerated approval based on tumor response rate and durability of response. Continued approval for this indication may be contingent upon verification and description of clinical benefit in the confirmatory trials. 1.10 Esophageal Cancer  KEYTRUDA is indicated for the treatment of patients with recurrent locally advanced or metastatic squamous cell carcinoma of the esophagus whose tumors express PD--approved test [see Dosage and Administration (2.1)], with disease progression after one or more prior lines of systemic therapy. 1.11 Cervical Cancer  KEYTRUDA is indicated for the treatment of patients with recurrent or metastatic cervical cancer with disease progression on or after chemotherapy whose tumors express PD--approved test [see Dosage and Administration (2.1)]. This indication is approved under accelerated approval based on tumor response rate and durability of response [see Clinical Studies (14.10)]. Continued approval for this indication may be contingent upon verification and description of clinical benefit in the confirmatory trials. 1.19 Triple-Negative Breast Cancer  KEYTRUDA, in combination with chemotherapy, is indicated for the treatment of patients with locally recurrent unresectable or metastatic triple-negative breast cancer (TNBC) whose tumors express PD-mined by an FDA-approved test [see Dosage and Administration (2.1)].  This indication is approved under accelerated approval based on progression-free survival [see Clinical Studies (14.19)]. Continued approval for this indication may be contingent upon verification and description of clinical benefit in the confirmatory trials.","Previously Untreated NSCLC  The safety of KEYTRUDA was investigated in KEYNOTE-042, a multicenter, open-label, randomized (1:1), active-controlled trial in 1251 patients with PD-L1 expressing, previously untreated stage III NSCLC who were not candidates for surgical resection or definitive chemoradiation or metastatic NSCLC [see Clinical Studies (14.2)]. (–)",Pembrolizumab 
19,BLA125514,125514,Pembrolizumab (3),Oncology,"Microsatellite Instability, Mismatch Repair","1 INDICATIONS AND USAGE, 2 DOSAGE AND ADMINISTRATION, 6 ADVERSE REACTIONS, 8 USE IN SPECIFIC POPULATIONS, 14 CLINICAL STUDIES",11/13//2020,"1.8 Microsatellite Instability-High Cancer KEYTRUDA is indicated for the treatment of adult and pediatric patients with unresectable or metastatic, microsatellite instability-high (MSI-H) or mismatch repair deficient  solid tumors that have progressed following prior treatment and who have no satisfactory alternative treatment options, or  colorectal cancer that has progressed following treatment with a fluoropyrimidine, oxaliplatin, and irinotecan [see Clinical Studies (14.6)]. This indication is approved under accelerated approval based on tumor response rate and durability of response. Continued approval for this indication may be contingent upon verification and description of clinical benefit in the confirmatory trials. Limitation of Use: The safety and effectiveness of KEYTRUDA in pediatric patients with MSI-H central nervous system cancers have not been established. 1.9 Microsatellite Instability-High or Mismatch Repair Deficient Colorectal Cancer  KEYTRUDA is indicated for the first-line treatment of patients with unresectable or metastatic MSI-H or dMMR colorectal cancer (CRC). 1.15 Endometrial Carcinoma  KEYTRUDA, in combination with lenvatinib, is indicated for the treatment of patients with advanced endometrial carcinoma that is not MSI-H or dMMR, who have disease progression following prior systemic therapy and are not candidates for curative surgery or radiation.  This indication is approved under accelerated approval based on tumor response rate and durability of response [see Clinical Studies (14.15)]. Continued approval for this indication may be contingent upon verification and description of clinical benefit in the confirmatory trials.","Microsatellite Instability-High or Mismatch Repair Deficient Colorectal Cancer  Among the 153 patients with MSI-H or dMMR CRC enrolled in KEYNOTE-177 [see Clinical Studies (14.9)] treated with KEYTRUDA, the median duration of exposure to KEYTRUDA was 11.1 months (range: 1 day to 30.6 months). Patients with autoimmune disease or a medical condition that required immunosuppression were ineligible. Adverse reactions occurring in patients with MSI-H or dMMR CRC were similar to those occurring in 2799 patients with melanoma or NSCLC treated with KEYTRUDA as a single agent. Endometrial Carcinoma The safety of KEYTRUDA in combination with lenvatinib (20 mg orally once daily) was investigated in KEYNOTE-146, a single-arm, multicenter, open-label trial in 94 patients with endometrial carcinoma whose tumors had progressed following one line of systemic therapy and were not MSI-H or dMMR [see Clinical Studies (14.15)]. (–)",Pembrolizumab 
20,BLA125514,125514,Pembrolizumab (4),Oncology,EGFR,"1 INDICATIONS AND USAGE, 6 ADVERSE REACTIONS, 14 CLINICAL STUDIES",11/13//2020,"1.2 Non-Small Cell Lung Cancer  KEYTRUDA, in combination with pemetrexed and platinum chemotherapy, is indicated for the first-line treatment of patients with metastatic nonsquamous non-small cell lung cancer (NSCLC), with no EGFR or ALK genomic tumor aberrations.  KEYTRUDA, in combination with carboplatin and either paclitaxel or paclitaxel protein-bound, is indicated for the first-line treatment of patients with metastatic squamous NSCLC.  KEYTRUDA, as a single agent, is indicated for the first-line treatment of patients with NSCLC expressing PD-determined by an FDA-approved test [see Dosage and Administration (2.1)], with no EGFR or ALK genomic tumor aberrations, and is:   stage III where patients are not candidates for surgical resection or definitive chemoradiation, or   metastatic.  KEYTRUDA, as a single agent, is indicated for the treatment of patients with metastatic NSCLC whose tumors express PD-FDA-approved test [see Dosage and Administration (2.1)], with disease progression on or after platinum-containing chemotherapy. Patients with EGFR or ALK genomic tumor aberrations should have disease progression on FDA-approved therapy for these aberrations prior to receiving KEYTRUDA.","6.1 Clinical Trials Experience NSCLC First-line treatment of metastatic nonsquamous NSCLC with pemetrexed and platinum chemotherapy  The safety of KEYTRUDA in combination with pemetrexed and investigator™s choice of platinum (either carboplatin or cisplatin) was investigated in KEYNOTE-189, a multicenter, double-blind, randomized (2:1), active-controlled trial in patients with previously untreated, metastatic nonsquamous NSCLC with no EGFR or ALK genomic tumor aberrations [see Clinical Studies (14.2)]. (–) Previously Untreated NSCLC  The safety of KEYTRUDA was investigated in KEYNOTE-042, a multicenter, open-label, randomized (1:1), active-controlled trial in 1251 patients with PD-L1 expressing, previously untreated stage III NSCLC who were not candidates for surgical resection or definitive chemoradiation or metastatic NSCLC [see Clinical Studies (14.2)]. Patients received KEYTRUDA 200 mg every 3 weeks (n=636) or investigator™s choice of chemotherapy (n=615), consisting of pemetrexed and carboplatin followed by optional pemetrexed (n=312) or paclitaxel and carboplatin followed by optional pemetrexed (n=303) every 3 weeks. Patients with EGFR or ALK genomic tumor aberrations; autoimmune disease that required systemic therapy within 2 years of treatment; a medical condition that required immunosuppression; or who had received more than 30 Gy of thoracic radiation within the prior 26 weeks were ineligible. (–) Previously Treated NSCLC  The safety of KEYTRUDA was investigated in KEYNOTE-010, a multicenter, open-label, randomized (1:1:1), active-controlled trial, in patients with advanced NSCLC who had documented disease progression following treatment with platinum-based chemotherapy and, if positive for EGFR or ALK genetic aberrations, appropriate therapy for these aberrations [see Clinical Studies (14.2)].",Pembrolizumab 
21,BLA125514,125514,Pembrolizumab (5),Oncology,ALK,"1 INDICATIONS AND USAGE, 6 ADVERSE REACTIONS, 14 CLINICAL STUDIES",11/13//2020,"1.2 Non-Small Cell Lung Cancer  KEYTRUDA, in combination with pemetrexed and platinum chemotherapy, is indicated for the first-line treatment of patients with metastatic nonsquamous non-small cell lung cancer (NSCLC), with no EGFR or ALK genomic tumor aberrations.  KEYTRUDA, in combination with carboplatin and either paclitaxel or paclitaxel protein-bound, is indicated for the first-line treatment of patients with metastatic squamous NSCLC.  KEYTRUDA, as a single agent, is indicated for the first-line treatment of patients with NSCLC expressing PD-determined by an FDA-approved test [see Dosage and Administration (2.1)], with no EGFR or ALK genomic tumor aberrations, and is:   stage III where patients are not candidates for surgical resection or definitive chemoradiation, or   metastatic.  KEYTRUDA, as a single agent, is indicated for the treatment of patients with metastatic NSCLC whose tumors express PD-FDA-approved test [see Dosage and Administration (2.1)], with disease progression on or after platinum-containing chemotherapy. Patients with EGFR or ALK genomic tumor aberrations should have disease progression on FDA-approved therapy for these aberrations prior to receiving KEYTRUDA.","6.1 Clinical Trials Experience NSCLC  First-line treatment of metastatic nonsquamous NSCLC with pemetrexed and platinum chemotherapy  The safety of KEYTRUDA in combination with pemetrexed and investigator™s choice of platinum (either carboplatin or cisplatin) was investigated in KEYNOTE-189, a multicenter, double-blind, randomized (2:1), active-controlled trial in patients with previously untreated, metastatic nonsquamous NSCLC with no EGFR or ALK genomic tumor aberrations [see Clinical Studies (14.2)]. (–) Previously Untreated NSCLC The safety of KEYTRUDA was investigated in KEYNOTE-042, a multicenter, open-label, randomized (1:1), active-controlled trial in 1251 patients with PD-L1 expressing, previously untreated stage III NSCLC who were not candidates for surgical resection or definitive chemoradiation or metastatic NSCLC [see Clinical Studies (14.2)]. Patients received KEYTRUDA 200 mg every 3 weeks (n=636) or investigator™s choice of chemotherapy (n=615), consisting of pemetrexed and carboplatin followed by optional pemetrexed (n=312) or paclitaxel and carboplatin followed by optional pemetrexed (n=303) every 3 weeks. Patients with EGFR or ALK genomic tumor aberrations; autoimmune disease that required systemic therapy within 2 years of treatment; a medical condition that required immunosuppression; or who had received more than 30 Gy of thoracic radiation within the prior 26 weeks were ineligible. (–) Previously Treated NSCLC  The safety of KEYTRUDA was investigated in KEYNOTE-010, a multicenter, open-label, randomized (1:1:1), active-controlled trial, in patients with advanced NSCLC who had documented disease progression following treatment with platinum-based chemotherapy and, if positive for EGFR or ALK genetic aberrations, appropriate therapy for these aberrations [see Clinical Studies (14.2)].",Pembrolizumab (5)
22,BLA125514,125514,Pembrolizumab (6),Oncology,Tumor Mutational Burden,"1 INDICATIONS AND USAGE, 2 DOSAGE AND ADMINISTRATION, 14 CLINICAL STUDIES",11/13//2020,"1.16 Tumor Mutational Burden-High Cancer  KEYTRUDA is indicated for the treatment of adult and pediatric patients with unresectable or metastatic tumor mutational burden-high (TMB-mutations/megabase (mut/Mb)] solid tumors, as determined by an FDA-approved test [see Dosage and Administration (2.1)], that have progressed following prior treatment and who have no satisfactory alternative treatment options.  This indication is approved under accelerated approval based on tumor response rate and durability of response [see Clinical Studies (14.16)]. Continued approval for this indication may be contingent upon verification and description of clinical benefit in the confirmatory trials. Limitations of Use: The safety and effectiveness of KEYTRUDA in pediatric patients with TMB-H central nervous system cancers have not been established.",,Pembrolizumab (6)
23,BLA125514,125514,Pembrolizumab (1),Oncology,BRAF,"6 ADVERSE REACTIONS, 14 CLINICAL STUDIES",11/13//2020,,"6.1 Clinical Trials Experience Ipilimumab-Refractory Melanoma The safety of KEYTRUDA in patients with unresectable or metastatic melanoma with disease progression following ipilimumab and, if BRAF V600 mutation positive, a BRAF inhibitor, was evaluated in Study KEYNOTE-002. (–)",Pembrolizumab 
24,NDA202429,202429,Vemurafenib (1),Oncology,BRAF,"1 INDICATIONS AND USAGE, 2 DOSAGE AND ADMINISTRATION, 5 WARNINGS AND PRECAUTIONS, 6 ADVERSE REACTIONS, 8 USE IN SPECIFIC POPULATIONS, 12 CLINICAL PHARMACOLOGY, 14 CLINICAL STUDIES, 17 PATIENT COUNSELING INFORMATION",05/18/2020,1.1 Unresectable or Metastatic Melanoma ZELBORAF® is indicated for the treatment of patients with unresectable or metastatic melanoma with BRAF V600E mutation as detected by an FDA-approved test. Limitation of Use: ZELBORAF is not indicated for treatment of patients with wild-type BRAF melanoma [see Warnings and Precautions (5.2)]. 1.2 Erdheim-Chester Disease ZELBORAF® is indicated for the treatment of patients with Erdheim-Chester Disease (ECD) with BRAF V600 mutation.,"6.1 Clinical Trials Experience (–) Unresectable or Metastatic Melanoma with BRAF V600E Mutation  This section describes adverse drug reactions (ADRs) identified from analyses of Trial 1 and Trial 2 [see Clinical Studies (14)]. (–) Erdheim-Chester Disease (ECD)  This section describes adverse reactions identified from analyses of Trial 4 [see Clinical Studies (14)]. In Trial 4, 22 patients with BRAF V600 mutation-positive ECD received ZELBORAF 960 mg twice daily.  The median treatment duration for ECD patients in this study was 14.2 months. Table 3 presents adverse reactions reported in at least 20% of BRAF V600 mutation-positive ECD patients treated with ZELBORAF. In Trial 4, the most commonly reported adverse reactions (> 50%) in patients with BRAF V600 mutationpositive ECD treated with ZELBORAF were arthralgia, rash maculo-papular, alopecia, fatigue, electrocardiogram QT i3 adverse reactions were squamous cell carcinoma of the skin, hypertension, rash maculo-papular, and arthralgia. (–)",Vemurafenib 
25,NDA202429,202429,Vemurafenib (2),Oncology,RAS,"5 WARNINGS AND PRECAUTIONS, 6 ADVERSE REACTIONS",05/18/2020,,"6.2 Postmarketing Experience  The following adverse reactions have been identified during post approval use of ZELBORAF. Because these reactions are reported voluntarily from a population of uncertain size, it is not always possible to reliably estimate their frequency or establish a causal relationship to drug exposure.  Neoplasms benign, malignant and unspecified (incl. cysts and polyps) Progression of pre-existing chronic myelomonocytic leukemia with NRAS mutation [see Warnings and Precautions (5.1)]. (–)",Vemurafenib 
